Drug 1,Drug 2,DDI Type,Time,Unit
nalidixic acid,acenocoumarol,antagonism,4,yr
nalidixic acid,anisindione,antagonism,2,day
nalidixic acid,calcium acetate,agonism,3,yr
nalidixic acid,dicoumarol,agonism,9,hr
nalidixic acid,warfarin,antagonism,21,hr
ciprofloxacin,acenocoumarol,antagonism,3,day
ciprofloxacin,aluminium,antagonism,7,day
ciprofloxacin,aminophylline,antagonism,25,sec
ciprofloxacin,anisindione,antagonism,2,min
ciprofloxacin,caffeine,antagonism,25,sec
ciprofloxacin,calcium,agonism,43,sec
ciprofloxacin,calcium acetate,agonism,55,sec
ciprofloxacin,clozapine,antagonism,39,week
ciprofloxacin,cyclosporin A,antagonism,29,week
ciprofloxacin,dicoumarol,agonism,7,day
ciprofloxacin,dihydroxyaluminium,antagonism,2,day
ciprofloxacin,duloxetine,agonism,38,min
ciprofloxacin,dyphylline,antagonism,14,min
ciprofloxacin,eltrombopag,agonism,4,day
ciprofloxacin,ethotoin,agonism,3,hr
ciprofloxacin,phosphonoformic acid,antagonism,3,yr
ciprofloxacin,iron,agonism,1,day
ciprofloxacin,iron dextran,antagonism,8,min
ciprofloxacin,lomitapide,antagonism,5,yr
ciprofloxacin,magnesium,antagonism,23,week
ciprofloxacin,magnesium oxide,antagonism,1,yr
ciprofloxacin,mephenytoin,antagonism,9,hr
ciprofloxacin,methotrexate,antagonism,41,week
ciprofloxacin,oxtriphylline,agonism,21,hr
ciprofloxacin,phenytoin,antagonism,4,day
ciprofloxacin,procainamide,agonism,2,yr
ciprofloxacin,ramelteon,antagonism,7,sec
ciprofloxacin,rasagiline,agonism,19,sec
ciprofloxacin,ropinirole,antagonism,2,day
ciprofloxacin,sevelamer,agonism,7,sec
ciprofloxacin,sildenafil,antagonism,5,day
ciprofloxacin,sucralfate,antagonism,44,min
ciprofloxacin,tacrine,antagonism,19,sec
ciprofloxacin,theophylline,agonism,1,day
ciprofloxacin,thiothixene,agonism,7,week
ciprofloxacin,tizanidine,antagonism,44,min
ciprofloxacin,warfarin,antagonism,55,sec
ciprofloxacin,zinc,antagonism,3,hr
norfloxacin,acenocoumarol,antagonism,15,week
norfloxacin,aluminium,antagonism,7,day
norfloxacin,aminophylline,antagonism,9,hr
norfloxacin,anisindione,antagonism,2,yr
norfloxacin,artemether,antagonism,3,day
norfloxacin,caffeine,antagonism,20,min
norfloxacin,calcium,antagonism,31,sec
norfloxacin,calcium acetate,agonism,3,day
norfloxacin,clozapine,agonism,27,week
norfloxacin,cyclosporin A,agonism,1,day
norfloxacin,dicoumarol,antagonism,55,sec
norfloxacin,dyphylline,agonism,38,min
norfloxacin,phosphonoformic acid,agonism,9,hr
norfloxacin,iron,agonism,1,day
norfloxacin,iron dextran,antagonism,15,hr
norfloxacin,lumefantrine,antagonism,20,min
norfloxacin,magnesium,antagonism,5,yr
norfloxacin,magnesium oxide,agonism,21,hr
norfloxacin,oxtriphylline,agonism,8,min
norfloxacin,sucralfate,antagonism,38,min
norfloxacin,tacrine,antagonism,1,yr
norfloxacin,tacrolimus (anhydrous),agonism,2,yr
norfloxacin,tamsulosin,antagonism,21,hr
norfloxacin,theophylline,agonism,21,hr
norfloxacin,thiothixene,antagonism,13,sec
norfloxacin,tizanidine,antagonism,11,week
norfloxacin,tolterodine,agonism,6,day
norfloxacin,toremifene,agonism,7,sec
norfloxacin,tramadol hydrochloride,agonism,5,day
norfloxacin,trazodone,agonism,7,week
norfloxacin,trimipramine,antagonism,2,min
norfloxacin,voriconazole,antagonism,9,week
norfloxacin,vorinostat,agonism,1,day
norfloxacin,warfarin,antagonism,3,hr
norfloxacin,zinc,agonism,32,min
norfloxacin,ziprasidone,agonism,5,yr
norfloxacin,zuclopenthixol,antagonism,21,hr
warfarin,paracetamol,agonism,25,week
warfarin,acetylsalicylic acid,agonism,44,min
warfarin,allopurinol,agonism,29,week
warfarin,aminoglutethimide,agonism,31,sec
warfarin,4-aminosalicylic acid,antagonism,32,min
warfarin,amiodarone,antagonism,31,sec
warfarin,amobarbital,antagonism,21,hr
warfarin,amprenavir,antagonism,1,sec
warfarin,aprepitant,antagonism,1,yr
warfarin,atazanavir,antagonism,5,day
warfarin,avanafil,agonism,3,yr
warfarin,azathioprine,agonism,5,yr
warfarin,azithromycin,antagonism,26,min
warfarin,betamethasone,agonism,4,day
warfarin,bezafibrate,antagonism,9,hr
warfarin,bosentan,agonism,4,day
warfarin,butabarbital,antagonism,41,week
warfarin,butalbital,agonism,1,day
warfarin,capecitabine,agonism,1,day
warfarin,carbamazepine,antagonism,6,day
warfarin,cefotetan,antagonism,49,sec
warfarin,cefoxitin,agonism,25,sec
warfarin,ceftriaxone,agonism,4,yr
warfarin,celecoxib,antagonism,4,day
warfarin,cholestyramine,agonism,56,min
warfarin,cimetidine,antagonism,38,min
warfarin,cisapride,antagonism,31,sec
warfarin,citalopram,agonism,25,sec
warfarin,clarithromycin,antagonism,5,day
warfarin,clofibrate,antagonism,4,yr
warfarin,clopidogrel,antagonism,20,min
warfarin,colestipol hydrochloride,antagonism,26,min
warfarin,cyclophosphamide,antagonism,6,day
warfarin,danazol,agonism,6,day
warfarin,delavirdine,agonism,23,week
warfarin,demeclocycline,antagonism,47,week
warfarin,desogestrel,antagonism,2,day
warfarin,dexamethasone,agonism,17,week
warfarin,dextrothyroxine,agonism,4,yr
warfarin,diclofenac,antagonism,37,sec
warfarin,dicloxacillin,agonism,38,min
warfarin,diflunisal,antagonism,3,hr
warfarin,disulfiram,agonism,26,min
warfarin,doxycycline,antagonism,39,week
warfarin,dronedarone,antagonism,1,yr
warfarin,drospirenone,antagonism,5,yr
warfarin,drotrecogin alfa,antagonism,21,hr
warfarin,erythromycin,agonism,2,min
warfarin,ethchlorvynol,agonism,25,sec
warfarin,ethinyl estradiol,agonism,21,hr
warfarin,ethynodiol diacetate,antagonism,1,yr
warfarin,etodolac,antagonism,14,min
warfarin,etonogestrel,antagonism,1,day
warfarin,etoricoxib,antagonism,21,hr
warfarin,ezetimibe,antagonism,3,hr
warfarin,fenofibrate,antagonism,6,day
warfarin,fenoprofen,antagonism,3,hr
warfarin,5-fluoro-2'-deoxyuridine,antagonism,23,week
warfarin,fluconazole,antagonism,26,min
warfarin,fludrocortisone,antagonism,4,yr
warfarin,5-fluorouracil,agonism,15,hr
warfarin,fluoxetine,antagonism,21,hr
warfarin,fluoxymesterone,agonism,6,day
warfarin,flurbiprofen,agonism,3,day
warfarin,"(3S,5R)-fluvastatin",agonism,8,min
warfarin,fluvoxamine,agonism,6,day
warfarin,fosamprenavir,antagonism,2,day
warfarin,fosphenytoin,agonism,50,min
warfarin,gadofosveset trisodium,agonism,3,day
warfarin,gefitinib,antagonism,3,day
warfarin,gemcitabine,agonism,15,hr
warfarin,gemfibrozil,antagonism,3,day
warfarin,ginkgo biloba,agonism,50,min
warfarin,ginseng,antagonism,21,hr
warfarin,glutethimide,agonism,25,week
warfarin,griseofulvin,agonism,20,min
warfarin,homoharringtonine,antagonism,14,min
warfarin,cortisol,agonism,20,min
warfarin,ibuprofen,antagonism,5,day
warfarin,imatinib,agonism,25,sec
warfarin,indinavir,antagonism,1,sec
warfarin,indometacin,antagonism,15,hr
warfarin,isoniazid,antagonism,32,min
warfarin,itraconazole,antagonism,3,yr
warfarin,ketoconazole,antagonism,3,hr
warfarin,ketoprofen,agonism,3,week
warfarin,ketorolac,antagonism,37,sec
warfarin,leflunomide,antagonism,3,hr
warfarin,levamisole,agonism,1,day
warfarin,levofloxacin,antagonism,21,hr
warfarin,levonorgestrel,agonism,21,hr
warfarin,L-thyroxine,antagonism,2,yr
warfarin,liothyronine,antagonism,2,yr
warfarin,liotrix,agonism,14,min
warfarin,lomitapide,antagonism,37,week
warfarin,lovastatin,agonism,14,min
warfarin,lumiracoxib,agonism,2,yr
warfarin,meclofenamic acid,agonism,3,yr
warfarin,medroxyprogesterone,agonism,38,min
warfarin,mefenamic acid,antagonism,15,hr
warfarin,mefloquine,antagonism,14,min
warfarin,meloxicam,antagonism,38,min
warfarin,mercaptopurine,antagonism,3,day
warfarin,mestranol,agonism,5,yr
warfarin,methimazole,agonism,13,sec
warfarin,methohexital,agonism,55,sec
warfarin,metronidazole,agonism,55,sec
warfarin,miconazole,antagonism,13,week
warfarin,minocycline,agonism,7,day
warfarin,mirabegron,agonism,49,week
warfarin,mitotane,antagonism,4,day
warfarin,moxifloxacin,antagonism,32,min
warfarin,nabumetone,antagonism,3,day
warfarin,nafcillin,agonism,25,sec
warfarin,nandrolone decanoate,agonism,2,yr
warfarin,nandrolone phenpropionate,agonism,26,min
warfarin,naproxen,agonism,9,hr
warfarin,nelfinavir,agonism,25,sec
warfarin,nevirapine,agonism,7,day
warfarin,nicardipine,agonism,49,week
warfarin,norethisterone,agonism,55,sec
warfarin,norgestimate,agonism,7,sec
warfarin,ofloxacin,agonism,50,min
warfarin,orlistat,agonism,4,day
warfarin,oxandrolone,antagonism,38,min
warfarin,oxaprozin,agonism,3,hr
warfarin,oxyphenbutazone,antagonism,27,week
warfarin,paroxetine,antagonism,7,day
warfarin,pentobarbital,antagonism,26,min
warfarin,pentoxifylline,antagonism,7,sec
warfarin,phenobarbital,antagonism,19,week
warfarin,phenylbutazone,agonism,1,day
warfarin,phenytoin,agonism,15,hr
warfarin,phytonadione,antagonism,5,yr
warfarin,piroxicam,antagonism,45,week
warfarin,prasugrel,antagonism,49,week
warfarin,prednisolone,agonism,3,yr
warfarin,prednisone,agonism,50,min
warfarin,primidone,antagonism,13,sec
warfarin,propafenone hydrochloride,antagonism,4,day
warfarin,propoxyphene,agonism,3,day
warfarin,6-propyl-2-thiouracil,agonism,4,yr
warfarin,quinidine,agonism,11,week
warfarin,quinine,agonism,9,week
warfarin,ranitidine,antagonism,3,day
warfarin,rifabutin,agonism,1,day
warfarin,rifampicin,agonism,3,day
