Drug 1,Drug 2,DDI Type,Time,Unit
nalidixic acid,acenocoumarol,bad,4,yr
nalidixic acid,anisindione,bad,2,day
nalidixic acid,calcium acetate,bad,3,yr
nalidixic acid,dicoumarol,good,9,hr
nalidixic acid,warfarin,good,21,hr
ciprofloxacin,acenocoumarol,bad,3,day
ciprofloxacin,aluminium,bad,7,day
ciprofloxacin,aminophylline,good,25,sec
ciprofloxacin,anisindione,bad,2,min
ciprofloxacin,caffeine,good,25,sec
ciprofloxacin,calcium,good,43,sec
ciprofloxacin,calcium acetate,good,55,sec
ciprofloxacin,clozapine,good,39,week
ciprofloxacin,cyclosporin A,good,29,week
ciprofloxacin,dicoumarol,bad,7,day
ciprofloxacin,dihydroxyaluminium,bad,2,day
ciprofloxacin,duloxetine,bad,38,min
ciprofloxacin,dyphylline,bad,14,min
ciprofloxacin,eltrombopag,bad,4,day
ciprofloxacin,ethotoin,good,3,hr
ciprofloxacin,phosphonoformic acid,bad,3,yr
ciprofloxacin,iron,bad,1,day
ciprofloxacin,iron dextran,bad,8,min
ciprofloxacin,lomitapide,bad,5,yr
ciprofloxacin,magnesium,good,23,week
ciprofloxacin,magnesium oxide,bad,1,yr
ciprofloxacin,mephenytoin,good,9,hr
ciprofloxacin,methotrexate,good,41,week
ciprofloxacin,oxtriphylline,good,21,hr
ciprofloxacin,phenytoin,bad,4,day
ciprofloxacin,procainamide,bad,2,yr
ciprofloxacin,ramelteon,good,7,sec
ciprofloxacin,rasagiline,good,19,sec
ciprofloxacin,ropinirole,bad,2,day
ciprofloxacin,sevelamer,good,7,sec
ciprofloxacin,sildenafil,bad,5,day
ciprofloxacin,sucralfate,bad,44,min
ciprofloxacin,tacrine,good,19,sec
ciprofloxacin,theophylline,bad,1,day
ciprofloxacin,thiothixene,good,7,week
ciprofloxacin,tizanidine,bad,44,min
ciprofloxacin,warfarin,good,55,sec
ciprofloxacin,zinc,good,3,hr
norfloxacin,acenocoumarol,good,15,week
norfloxacin,aluminium,bad,7,day
norfloxacin,aminophylline,good,9,hr
norfloxacin,anisindione,bad,2,yr
norfloxacin,artemether,bad,3,day
norfloxacin,caffeine,bad,20,min
norfloxacin,calcium,good,31,sec
norfloxacin,calcium acetate,bad,3,day
norfloxacin,clozapine,good,27,week
norfloxacin,cyclosporin A,bad,1,day
norfloxacin,dicoumarol,good,55,sec
norfloxacin,dyphylline,bad,38,min
norfloxacin,phosphonoformic acid,good,9,hr
norfloxacin,iron,bad,1,day
norfloxacin,iron dextran,good,15,hr
norfloxacin,lumefantrine,bad,20,min
norfloxacin,magnesium,bad,5,yr
norfloxacin,magnesium oxide,good,21,hr
norfloxacin,oxtriphylline,bad,8,min
norfloxacin,sucralfate,bad,38,min
norfloxacin,tacrine,bad,1,yr
norfloxacin,tacrolimus (anhydrous),bad,2,yr
norfloxacin,tamsulosin,good,21,hr
norfloxacin,theophylline,good,21,hr
norfloxacin,thiothixene,good,13,sec
norfloxacin,tizanidine,good,11,week
norfloxacin,tolterodine,bad,6,day
norfloxacin,toremifene,good,7,sec
